hindi,phon
विंदु,v i n d u
वि,v i 
विकट,v i k a tt
विकल,v i k a l
विकल्प,v i k a l p a
विकसित,v i k s i t
विकार,v i k aa r
विकास,v i k aa s
विकीर्ण,v i k ii r n a
विकृत,v i k r i t
विक्रय,v i k r a y
विक्रेता,v i k r e t aa
विक्षिप्त,v i k sh i p t a
विख्यात,v i kh y aa t
वागत,v i g a t
विघटन,v i gh a tt a n
विघटित,v i gh a tt i t
विघ्न,v i gh n a
विचरना,v i c a r n aa
विचलित,v i c a l i t
विचार,v i c aa r
विचारक,v i c aa r a k
विचारणीय,v i c aa r a n ii y a
विचारधारा,v i c aa r dh aa r aa
विचारना,v i c aa r n aa
विचारवान्,v i c aa r v aa n
विचाराघीन,v i c aa r aa dh ii n
विचित्र,v i c i t r a
विचित्रता,v i c i t r a t aa
विच्छेद,v i c ch e d
विजय,v i j a y
विजयादशमी,v i j a y aa d a sh m i
विजयी,v i j a y ii
विजेता,v i j e t aa
विज्ञ,v i g y a ~
विज्ञप्ति,v i g y a ~ p t i
विटामिन,v i tt a m i n
विडंबना,v i dd a m b a n aa
वितरक,v i t a r a k
वितरण,v i t a r a n
वितरित,v i t a r i t
वित्त,v i t t a
वित्तीय,v i t t ii y
विदा,v i d aa
विदाई,v i d E
विदित,v i d i t
विदाश,v i d e sh
विदेशी,v i d e sh ii
विद्यामान,v i d y a m aa n
विद्या,v i d y aa
विद्यार्थी,v i d y aa r th ii
विद्यालय,v i d y aa l a y
विद्यावान्,
विद्युत्,v i d y u t
विद्रोह,v i d r o h
विद्रोही,v i d r o h ii
विद्वत्ता,v i d v a t t aa
विद्वत्तापुर्ण,v i d v a t t aa p uu r n a
विद्वान्,v i d v aa n
विद्वेष,v i d v e sh
विधवा,v i dh v aa
विधवापन,v i dh v aa p a n
विधाता,v i dh aa t aa
विधान,v i dh aa n
विधायक,v i dh aa y a k
विधि,v i dh i
विधि,v i dh i
विधिवत्,v i dh i v a t
विधेय,v i dh e y
विधेयक,v i dh e y a k
विध्वंस,v i dh v a n s
विध्वस्त,v i dh v a s t a
विनत,v i n a t
विनती,v i n a t ii
विनम्र,v i n a m r a
विनम्रता,v i n a m r a t aa
विनय,v i n a y
विनयपुर्वक,v i n a y p uu r v a k
विना,v i n aa
विनाश,v i n aa sh
विनिमय,v i n i m a y
विनीत,v i n ii t
विनोद,v i n o d
विन्यास,v i n y aa s
विनोदी,v i n o d ii
विपक्ष,v i p a k sh a
विपत्ति,v i p a t t i
विपत्ति-ग्रस्त,v i p a t t i g r a s t a
विपरीत,v i p r ii t
विफल,v i ph a l
विफलता,v i ph a l t aa
विभक्त,v i bh a k t a
विभक्ति,v i bh a k t i
विभाग,v i bh aa g
विभागीय,v i bh aa g ii y
विभाजन,v i bh aa j a n
विभाजित,v i bh aa j i t
विभान्न,v i bh i n n a
विभिन्नता,v i bh i n n a t aa
विभूति,v i bh uu t i
विभूषित,v i bh uu sh i t
विभेद,v i bh e d
विमर्श,v i m a r sh a
विमल,v i m a l
विमान,v i m aa n
विमान-भेदी,v i m aa n bh e d ii
विमुख,v i m u kh
वियुक्त,v i y u k t a
वियोग,v i y o g
वियोगी,v i y o g ii
विरक्त,v i r a k t a
विरला,v i r l aa
विरह,v i r a h
विराजना,v i r aa j n aa
विराट्,v i r aa tt
विराम,v i r aa m
विरासत,v i r aa s a t
विरुद्ध,v i r u d dh a
विरेध,v i r o dh
विरेधी,v i r o dh ii
विलंब,v i l a m b
विलक्षण,v i l a k sh a n
विलक्षणता,v i l a k sh a n t aa
विलग,v i l a g
विलगाना,v i l g aa n aa
विलाप,v i l aa p
विलायत,v i l aa y a t
विलायती,v i l aa y t ii
विलास,v i l aa s
विलासी,v i l aa s ii
विलीन,v i l ii n
विलोम,v i l o m
विवरण,v i v a r a n
विवश,v i v a sh
विवशता,v i v a sh t aa
विवाद,v i v aa d
विवादग्रस्त,v i v aa d g r a s t a
विवाह,v i v aa h
विवाह-योग्य,v i v aa h y o g y a
विवाह-विच्छेद,v i v aa h v i c ch e d
विवाह-संबंध,v i v aa h s a m b a n dh
विवाह-संबंधी,v i v aa h s a m b a n dh ii
विवाहित,v i v aa h i t
विविध,v i v i dh
विविधता,v i v i dh t aa
विवेक,v i v e k
विवेकपूर्ण,v i v e k p uu r n a
विशाल,v i sh aa l
विशिष्ट,v i sh i sh tt a
विशिष्टता,v i sh i sh tt a t aa
विशुद्ध,v i sh u d dh a
विशेष,v i sh e sh
विशेषज्ञ,v i sh e sh a g y a ~
विशेषज्ञता,v i sh e sh a g y a ~ t aa
विशेषण,v i sh e sh a n
विशेषतः,v i sh e sh t a h
विशेषतया,v i sh e sh t a y aa
विशेषता,v i sh e sh t aa
विशेषांक,v i sh e sh aa ~ k
विशेषाधिकार,v i sh e sh aa dh i k aa r
विश्राम,v i sh r aa m
विश्राम-गृह,v i sh r aa m g r i h
विश्लेषण,v i sh l e sh a n
विश्लेषणात्मक,v i sh l e sh a n aa t m a k
विश्व,v i sh v a
विश्वकोश,v i sh v a k o sh
विश्वविद्यालय,v i sh v a v i d y aa l a y
विश्वसनीय,v i sh v a s n ii y
विश्वस्त,v i sh v a s t a
विश्वास,v i sh v aa s
विष,v i sh
विषम,v i sh a m
विषमता,v i sh a m t aa
विषय,v i sh a y
विषयक,v i sh a y a k
विषैला,v i sh E l aa
विस्तार,v i s t aa r
विस्तृत,v i s t r i t
विस्फोट,v i s ph o tt
विस्फोटक,v i s ph o tt a k
विस्मय,v i s m a y
विस्मित,v i s m i t
विहार,v i h aa r
वीणा,v ii n aa
वीभत्सं,v i bh a t s a
वीर,v ii r
वीरता,v ii r t aa
वीरान,v ii r aa n
वीर्य,v ii r y
वीसा,v ii s aa
वृक्ष,v r i k sh a
वृत्त,v r i t t a
वृत्तान्त,v r i t t aa n tt
वृत्ति,v r i t t i
वृथा,v r i th aa
वृद्ध,v r i d dh a
वृद्धा,v r i d dh aa
वृद्धि,v r i d dh i
वृष्टि,v r i sh tt i
वे,v e
वेग,v e g
वेजीटेबल,v e j i tt e b a l
वेतन,v e t a n
वेतन-भेगी,v e t a n bh o g ii
वेदना,v e d n aa
वेदी,v e d ii
वेश,v e sh
वेश-भूषा,v e sh bh uu sh aa
वेश्या,v e sh y aa
वैकल्पिक,v E k a l p i k
वैगन,v E g a n
वैतनिक,v E t n i k
वैदिक,v E d i k
वैदेशिक,v E d e sh i k
वैद्य,v E d y a
वैध,v E dh
वैभव,v E bh a v
वैयक्तिक,v E y a k t i k
वैयाकरण,v E y aa k a r a n
वैर,v E r
वैरागी,v E r aa g ii
वैराग्य,v Ei r aa g y
वैरी,v E r ii
वैवाहिक,v E v aa h i k
वैशाख,v E sh aa kh
वैश्य,v E sh y a
वैषम्य,v E sh a m y a
वैसा,v E s aa
वैसे,v E s e
वोट,v o tt
वोटर,v o tt a r
व्यंग्य,v y a ng g y a
व्यंजन,v y a n j a n
व्यंजना,v y a n j n aa
व्यक्त,v y a k t a
व्यक्ति,v y a k t i
व्यक्तिगत,v y a k t i g a t
व्यक्तित्व,v y a k t i t v a
व्यक्तिवाचक,v y a k t i v aa c a k
व्यतीत,v y a t ii t
व्यथा,v y a th aa
व्यथित,v y a th i t
व्यभिचार,v y a bh i c aa r
व्यभिचारी,v y a bh i c aa r ii
व्यय,v y a y
व्यर्थ,v y a r th a
व्यवसाय,v y a v s aa y
व्यवसायी,v y a v s aa y ii
व्यवस्था,v y a v a s th aa
व्यवस्थापक,v y a v a s th aa p a k
व्यवस्थित,v y a v a s th i t
व्यवहार,v y a v h aa r
व्यवहार्य,v y a v h aa r y a
व्यसन,v y a s a n
व्यसनी,v y a s n ii
व्यस्त,v y a s t a
व्याकरण,v y aa k a r a n
व्याकुल,v y aa k u l
व्याख्या,v y aa kh y aa
व्याख्याता,v y aa kh y aa t aa
व्याख्यान,v y aa kh y aa n
व्यापक,v y aa p aa k
व्यापार,v y aa p aa r
व्यापारिक,v y aa p aa r i k
व्यापारी,v y aa p aa r ii
व्यायाम,v y aa y aa m
व्यावसायिक,v y aa v s aa y i k
व्यावहारिक,v y aa v h aa r i k
व्युत्पत्ति,v y u t p a t t i
व्रत,v r a t
शंका,sh a ~ k aa
शंख,sh a ~ kh
शऊर,sh Ou r
शक,sh a k
शकल,sh a k a l
शकुन,sh a k u n
शक्कर,sh a k k a r
शक्ति,sh a k t i
शक्तिमान्,sh a k t i m aa n
शक्तिशाली,sh a k t i sh aa l ii
शक्ल,sh a k l a
शत,sh a t
शतक,sh a t a k
शतरंज,sh a t r a n j
शताब्दी,sh a t aa b d ii
शती,sh a t ii
शत्रु,sh a t r u
शत्रुता,sh a t r u t aa
शत्रुतापूर्ण,sh a t r u t aa p uu r n a
शनाख्त,sh a n aa x t a
शनिवार,sh a n i v aa r
शपथ,sh a p a th
शब्द,sh a b d a
शब्दकोश,sh a b d a k o sh
शब्दभंडार,sh a b d a bh a n dd aa r
शब्दसंग्रह,sh a b d a s a ng g r a h
शब्दावली,sh a b d aa v l ii
शरण,sh a r a n
शरणार्थी,sh a r a n aa r th ii
शरत्,sh a r a t
शरबत,sh a r b a t
शरम,
शरमाना,sh a r m aa n aa
शरमिंदा,sh a r m i n d aa
शरमिंदगी,sh a r m i n d a g ii
शरमीला,sh a r m ii l aa
शराफ़त,sh a r aa f a t
शराव,sh a r aa b
शराबखोरी,sh a r aa b x o r ii
शराबबंदी,sh a r aa b b a n d ii
शराबी,sh a r aa b ii
शरारत,sh a r aa r a t
शरारती,sh a r aa r t ii
शराफ़,sh a r ii f
शराफ़ा,sh a r ii f aa
शरीर,sh a r ii r
शर्त,sh a r t a
शर्तिया,sh a r t i y aa
शर्बत,sh a r b a t
शर्म,sh a r m a
शर्मनाक,sh a r m a n aa k
शर्माना,sh a r m aa n aa
शर्मिन्दा,sh a r m i n d aa
शर्मीला,sh a r m ii l aa
शलगम,sh a l g a m
शव,sh a v
शस्त्र,sh a s t r a
शहतीर,sh a h t ii r
शहद,sh a h a d
शहर,sh a h a r
शहरी,sh a h a r ii
शहीद,sh a h ii d
शांत,sh aa n t
शांति,sh aa n t ii
शांतिपूर्ण,sh a n t i p uu r n aa
शांतिप्रिय,sh aa n t i p r i y a
शांतिमय,sh a n t i m a y
शाकाहारी,sh aa k aa h aa r ii
शाखा,sh aa kh aa
शादी,sh aa d ii
शान,sh aa n
शानदार,sh aa n d aa r
शाप,sh aa p
शाबाश,sh aa b aa sh
शाबाशी,sh aa b aa sh ii
शाब्दिक,sh aa b d i k
शाम,sh aa m
शामत,sh aa m a t
शामियाना,sh aa m i y aa n aa
शामिल,sh aa m i l
शायद,sh aa y a d
शारीरिक,sh aa r ii r i k
शाल,sh aa l
शाला,sh aa l aa
शासक,sh aa s a k
शासन,sh aa s a n
शास्त्र,sh aa s t r a
शास्त्रीय,sh aa s t r ii y
शाही,sh aa h ii
शिकंजा,sh i k a n j aa
शिकायत,sh i k aa y a t
शिकार,sh i k aa r
शिकारी,sh i k aa r ii
शिक्षक,sh i k sh a k
शिक्षण,sh i k sh a n
शिक्षा,sh i k sh aa
शिक्षा-संबंधी,sh i k sh aa s a m b a n dh ii
शिक्षित,sh i k sh i t
शिखर,sh i kh a r
शिखा,sh i kh aa
शिथिल,sh i th i l
शिथिलता,sh i th i l t aa
शिला,sh i l aa
शिला-न्यास,sh i l aa n y aa s
शिलालेख,sh i l aa l e kh
शिल्प,sh i l p a
शिल्पकार,sh i l p a k aa r
शिविर,sh i v i r
शिशु,sh i sh u
शिष्ट,sh i sh tt a
शिष्टता,sh i sh tt a t aa
शिष्टाचार,sh i sh tt aa c aa r
शिष्य,sh i sh y a
शिध्र,sh ii gh r a
शिध्रता,sh ii gh r a t aa
शीत,sh ii t
शीतल,sh ii t a l
शीर्षक,sh ii r sh a k
शील,sh ii l
शीशम,sh ii sh a m
शीशा,sh ii sh aa
शीशी,sh ii sh ii
शुक्र,sh u k r a
शुक्रवार,sh u k r a v aa r
शुक्रिया,sh u k r i y aa
शुद्ध,sh u d dh a
शुद्धता,sh u d dh a t aa
शुभ,sh u bh
शुभचिन्तक,sh u bh c i n t a k
शुरुआत,sh u r u aa t
शुरु,sh u r uu
शुल्क,sh u l k a
शुष्क,sh u sh k a
शुट,sh uu tt
शुन्य,sh uu n y a
शुरवीर,sh uu r v ii r
शृंखला,sh r i ~ kh a l aa
शृंगार,sh r i n g aa r
शेखी,sh e x ii
शेड,sh e d
शेयर,sh e y a r
शेर,sh e r
शेर,sh e r
शेव,sh e v
शेष,sh e sh
शैतान,sh E t aa n
शैतानी,sh E t aa n ii
शैली,sh E l ii
शो,sh o
शोक,sh o k
शोकजनक,sh o k j a n a k
शोचनीय,sh o c n ii y
शोभा,sh o bh aa
शोर,sh o r
शोरबा,sh o r b aa
शोषण,sh o sh a n
शौक़,sh O q
शौक़या,sh O q i y aa
शौकीन,sh O q ii n
शौच,sh O c
शौचालय,sh O c aa l a y
शमशान,sh m a sh aa n
श्रद्धांजलि,sh r a dh aa n j a l i
श्रद्धा,sh r a d dh aa
श्रद्धालु,sh r a d dh aa l u
श्रद्धेय,sh r a d dh e y
श्रम,sh r a m
श्रमिक,sh r a m i k
श्री,sh r ii
श्रीगणेश,sh r ii g a n e sh
श्रीमती,sh r ii m a t ii
श्रीमान्,sh r ii m aa n
श्रेणी,sh r e n ii
श्रेष्ठ,sh r e sh tth a
श्रेता,sh r o t aa
श्वास,sh v aa s
श्वेत,sh v e t
षड्यन्त्र,sh a dd y a n t r a
सं,s a m
संकट,s a ng k a tt
संकटग्रस्त,s a ~ k a tt g r a s t a
सँकरा,s a ~ k r aa
संकलन,s a ~ k a l a n
संकल्प,s a ~ k a l p a
संकीर्ण,s a ~ k ii r n a
संकीर्णता,s a n k ii r n a t aa
संकुचित,s a ~ k u c i t
संकेत,s a ~ k e t
संकोच,s a ~ k o c
संकोची,s a ~ k o c ii
संक्षिप्त,s a ~ k sh i p t a
संक्षेप,s a ~ k sh e p
संख्या,s a ~ kh y aa
संख्यावाचक,s a ~ kh y aa v aa c a k
संग,s a ng g
संगठन,s a ng g a tth a n
संगठित,s a ng g a tth i t
संगत,s a ng g a t
संगति,s a ng g a t i
संगम,s a ng g a m
संगी,s a ng g ii
संगीत,s a ng g ii t
संगीन,s a ng g ii n
संगीन,s a ng g ii n
संग्रह,s a ng g r a h
संग्रहालय,s a ng g r a h aa l a y
संग्राम,s a ng g r aa m
संघ,s a ng gh
संघर्ष,s a ng gh a r sh a
संघीय,s a ng gh ii y
संचय,s a ng c a y
संचार,s a n c aa r
संचालक,s a n c aa l a k
संचालन,s a n c aa l a n
संचित,s a n c i t
सँजोना,s a n j o n aa
संत,s a n t
संतरा,s a n t a r aa
संतरी,s a n t a r ii
संतान,s a n t aa n
संतुलन,s a n t u l a n
संतुलित,s a n t u l i t
संतुष्ट,s a n t u sh tt a
संतोष,s a n t o sh
संतोषजनक,s a n t o sh j a n a k
संदूक,s a n d uu k
संदेश,s a n d e sh
संदेह,s a n d e h
संधि,s a n dh i
संध्या,s a n dh y aa
संन्यास,s a n n y aa s
संन्यासी,s a n n y aa s ii
संपत्ति,s a m p a t t i
संपन्न,s a m p a n n a
संपन्न,s a m p a n n a
संपन्नता,s a m p a n n a t aa
संपर्क,s a m p a r k a
संपादक,s a m p aa d a k
संपादकीय,s a m p aa d a k ii y
संपादन,s a m p aa d a n
संपूर्ण,s a m p uu r n a
सँपेरा,s a ~ p e r aa
संप्रदाय,s a m p r a d aa y
संबंध,s a m b a n dh
संबंधित,s a m b a n dh i t
संबंधी,s a m b a n dh ii
संबंधी,s a m b a n dh ii
संबद्ध,s a m b a d dh a
संबोधन,s a m b o dh a n
सँभलना,s a ~ bh a l n aa
संभव,s a m bh a v
सँभालना,s a ~ bh aa l n aa
संभावना,s a m bh aa v n aa
संयत,s a n y a t
संयम,s a n y a m
संयुक्त,s a n y u k t a
संयोग,s a n y o g
संयोजक,s a n y o j a k
संरक्षक,s a n r a k sh a k
संरक्षण,s a n r a k sh a n
संरक्षित,s a n r a k sh i t
संलग्न,s a n l a g n a
संवत्,s a m v a t
सँवरना,s a ~ v a r n aa
संवाद,s a m v aa d
संवाद-दाता,s a m v aa d d aa t aa
सँवारना,s a ~ v aa r n aa
संविधान,s a m v i dh aa n
संवेदनशील,s a m v e d a n sh ii l
संशय,s a n sh a y
संशोधन,s a n sh o dh a n
संशोधित,s a n sh o dh i t
संसद्,s a n s a d
संसदीय,s a n s a d ii y
संसार,s a n s aa r
संस्करण,s a n s k a r a n
संस्कार,s a n s k aa r
संस्कृत,s a n s k r i t
संस्कृति,s a n s k r i t i
संस्था,s a n s th aa
संस्थान,s a n s th aa n
संस्मरण,s a n s a m a r a n
सईस,s Ei s
सकना,s a k n aa
सकपकाना,s a k p a k aa n aa
सकारना,s a k aa r n aa
सकुचाना,s a k u c aa n aa
सकुशल,s a k u sh a l
सक्रिय,s a k r i y a
सख्त,s a x t a
सख़्ती,s a x t ii
सगा,s a g aa
सगाई,s a g E
सच,s a c
सचमुच,s a c m u c
सचाई,s a c E
सचित्र,s a c i t r a
सचिव,s a c i v
सचिवालय,s a c i v aa l a y
सचेत,s a c e t
सच्चा,s a c c aa
सच्चाई,s a c c E
सजग,s a j a g
सजधज,s a j dh a j
सजना,s a j n aa
सज़ा,s a z aa
सजाना,s a j aa n aa
सजावट,s a j aa v a tt
सजावटी,s a j aa v tt ii
सजीला,s a j ii l aa
सजीव,s a j ii v
सज्जन,s a j j a n
सज्जनता,s a j j a n t aa
सज्जा,s a j j aa
सज्जित,s a j j i t
सटना,s a tt n aa
सटाना,s a tt aa n aa
सट्टा,s a tt tt aa
सड़क,s a rr a k
सड़न,s a rr a n
सड़ना,s a rr n aa
सड़सठ,s a rr s a th
सड़ा,s a rr aa
सड़ाना,s a rr aa n aa
सड़ियल,s a rr i y a l
सतर्क,s a t a r k a
सतसंग,s a t s a n g
सतह,s a t a h
सतहत्तर,s a t h a t t a r
सतही,s a t a h ii
सताना,s a t aa n aa
सतावन,s a t aa v a n
सतासी,s a t aa s ii
सत्कार,s a t k aa r
सत्तर,s a t t a r
सत्ता,s a t t aa
सत्ताईस,s a t t E s
सत्ताधारी,s a t t aa dh aa r ii
सत्तानवे,s a t t aa n v e
सत्तावन,s a t t aa v a n
सत्तासी,s a t t aa s ii
सत्तू,s a t t uu
सत्य,s a t y a
सत्यता,s a t y a t aa
सत्यवादी,s a t y a v aa d ii
सत्याग्रह,s a t y aa g r a h
सत्यानाश,s a t y aa n aa sh
सत्रह,s a t r a h
सदन,s a d a n
सदस्य,s a d a s y a
सदस्यता,s a d a s y a t aa
सदा,s a d aa
सदाचार,s a d aa c aa r
सदाबहार,s a d aa b a h aa r
सदी,s a d ii
सदैव,s a d E v
सद् गुण,s a d g u n
सद्भावना,s a d bh aa v n aa
सन्,s a n
सन,s a n
सनक,s a n a k
सनकी,s a n k ii
सनसनी,s a n s a n ii
सनसनीदार,s a n s a n ii d aa r
सनीचर,s a n ii c a r
सन्न,s a n n a
सन्नाटा,s a n n aa tt a
सन्मार्ग,s a n m aa r g a
सपना,s a p n aa
सपाट,s a p aa tt
सपूत,s a p uu t
सप्ताह,s a p t aa h
सप्लाई,s a p l E
सफ़र,s a f a r
सफल,s a ph a l
सफलता,s a ph a l t aa
सफ़ेद,s a f e d
सफ़ेदी,s a f e d ii
सब,s a b
सबक़,s a b a q
सबूत,s a b uu t
सब्ज़ी,s a b z ii
सब्र,s a b r a
सभा,s a bh aa
सभापति,s a bh aa p a t i
सभी,s a bh ii
सभ्य,s a bh y a
सभ्यता,s a bh y a t aa
समंदर,s a m a n d a r
समकालीन,s a m k aa l ii n
समझ,s a m a jh
समझदार,s a m a jh d aa r
समझदारी,s a m a jh d aa r ii
समझना,s a m a jh n aa
समझाना,s a m jh aa n aa
समझौता,s a m jh O t aa
समतल,s a m t a l
समधी,s a m dh ii
समन,s a m a n
समय,s a m a y
समर्थ,s a m a r th a
समर्थक,s a m a r th a k
समर्थन,s a m a r th a n
समर्पण,s a m a r p a n
समर्पित,s a m a r p i t
समवेदना,s a m v e d a n aa
समस्या,s a m a s y aa
समाचार,s a m aa c aa r
समाचार-पत्र,s a m aa c aa r p a t r a
समाज,s a m aa j
समाजवाद,s a m aa j v aa d
समाजवादी,s a m aa j v aa d ii
समाजविरोधी,s a m aa j v i r o dh ii
समाजशास्त्र,s a m aa j sh aa s t r a
समाधान,s a m aa dh aa n
समाधि,s a m aa dh i
समान,s a m aa n
समानता,s a m aa n t aa
समाना,s a m aa n aa
समाप्त,s a m aa p t a
समाप्ति,s a m aa p t i
समारोह,s a m aa r o h
समालोचक,s a m aa l o c a k
समालोचना,s a m a l o c n aa
समालोचनात्मक,s a m aa l o c a n aa t m a k
समिति,s a m i t i
समीक्षा,s a m ii k sh aa
समीप,s a m ii p
समीपवर्ती,s a m ii p v a r t ii
समुचित,s a m u c i t
समुदाय,s a m u d aa y
समुद्र,s a m u d r a
समुद्र-तट,s a m u d r a t a tt
समुद्र-तल,s a m u d r a t a l
समुद्री,s a m u d r ii
समूचा,s a m uu c aa
समूल,s a m uu l
समूह,s a m uu h
समृद्ध,s a m r i d dh a
समृद्धि,s a m r i d dh i
समेटना,s a m e tt n aa
समेत,s a m e t
समोसा,s a m o s aa
सम्मति,s a m m a t i
सम्मान,s a m m aa n
सम्माननीय,s a m m aa n a n ii y
सम्मानित,s a m m aa n i t
सम्मिलित,s a m m i l i t
सम्मिश्रण,s a m m i sh r a n
सम्मुख़,s a m m u kh
सम्मेलन,s a m m e l a n
सम्राट्,s a m r aa tt
सम्हालना,s a m h aa l n aa
सयाना,s a y aa n aa
सरकना,s a r a k n aa
सरकस,s a r k a s
सरकाना,s a r k aa n aa
सरकार,s a r k aa r
सरकारी,s a r k aa r ii
सरदार,s a r d aa r
सरदी,s a r d ii
सरपट,s a r p a tt
सरल,s a r a l
सरलता,s a r a l t aa
सरसठ,s a r s a tth
सरसरी,s a r s a r ii
सराय,s a r aa y
सरासर,s a r aa s a r
सराहना,s a r aa h n aa
सराहनीय,s a r aa h n ii y
सरेश,s a r e sh
सरोवर,s a r o v a r
सर्क्यूलर,s a r k y uu l a r
सर्टिफ़िकेट,s a r tt i f i k e tt
सर्द,s a r d
सर्दी,s a r d ii
सर्व,s a r v a
सर्वत्र,s a r v a t r a
सर्वथा,s a r v a th aa
सर्वनाम,s a r v a n aa m
सर्वप्रथम,s a r v a p r a th a m
सर्वप्रिय,s a r v a p r i y
सर्वव्यापक,s a r v a v y aa p a k
सर्वव्यापी,s a r v a v y aa p ii
सर्वशक्तिमान्,s a r v a sh a k t i m aa n
सर्वश्रेष्ठ,s a r v a sh r e sh tth a
सर्वाधिक,s a r v aa dh i k
सर्विस,s a r v i s
सर्वेक्षण,s a r v e k sh a n
सर्वोच्च,s a r v o c c a
सर्वोत्तम,s a r v o t t a m
सलवार,s a l v aa r
सलाई,s a l E
सलाद,s a l aa d
सलाम,s a l aa m
सलाह,s a l aa h
सलाहकार,s a l aa h k aa r
सलीपर,s a l ii p a r
सलूक,s a l uu k
सवा,s a v aa
सवार,s a v aa r
सवारी,s a v aa r ii
सवाल,s a v aa l
सविस्तार,s a v i s t aa r
सवेरा,s a v e r aa
सवेरे,s a v e r e
सशक्त,s a sh a k t a
सशर्त,s a sh a r t a
सशस्त्र,s a sh a s t r a
ससुर,s a s u r
ससुराल,s a s u r aa l
सस्ता,s a s t aa
सहकारिता,s a h k aa r i t aa
सहकारी,s a h k aa r ii
सहज,s a h a j
सहन,s a h a n
सहनशक्ति,s a h a n sh a k t i
सहनशील,s a h a n sh ii l
सहना,s a h n aa
सहपाठी,s a h p aa tth ii
सहम,s a h a m
सहमत,s a h m a t
सहमति,s a h m a t i
सहयोग,s a h y o g
सहयोगी,s a h y o g ii
महर्ष,s a h a r sh a
सहलाना,s a h l aa n aa
सहसा,s a h s aa
सहस्र,s a h a s r a
सहस्राब्दी,s a h a s r aa b d ii
सहानुभूति,s a h aa n u bh uu t i
सहानुभूतिपूर्ण,s a h aa n u bh uu t i p uu r n a
सहानुभूतिपूर्वक,s a h aa n u bh uu t i p uu r v a k
सहायक,s a h aa y a k
महायता,s a h aa y t aa
सहारा,s a h aa r aa
सहारे,s a h aa r e
सहित,s a h i t
सहिष्णु,s a h i sh n u
सही,s a h ii
सहूलियत,s a h uu l i y a t
सहृदय,s a h r i d a y
सहेजना,s a h e j n aa
सहेली,s a h e l ii
सहोदर,s a h o d a r
सांत्वना,s aa n t v a n aa
सांप्रदायिक,s aa m p r a d aa y i k
सांसारिक,s aa n s aa r i k
सांस्कृतिक,s aa n s k r i t i k
-सा,s aa
साइंस,s aa i n s
साइकल,s aa i k a l
साइज़,s E z
साइनबोर्ड,s E n b o r dd
साकार,s aa k aa r
साक्षर,s aa k sh a r
साक्षरता,s aa k sh a r t aa
साख़ात्,s aa k sh aa t
साक्षात्कार,s aa k sh aa t k aa r
साक्षी,s aa k sh ii
साख,s aa kh
साग,s aa g
सागर,s aa g a r
सागवान,s aa g v aa n
साज़,s aa z
साज-सज्जा,s aa j s a j j aa
साज़-सामान,s aa z s aa m aa n
साज़िश,s aa z i sh
साझा,s aa jh aa
साझी,s aa jh ii
साझेदारी,s aa jh e d aa r ii
साठ,s aa tth
साड़ी,s aa rr ii
साढ़ू,s aa rrh uu
साढ़े,s aa rrh e
सात,s aa t
साथ,s aa th
साथी,s aa th ii
सादगी,s aa d g ii
सादा,s aa d aa
साधन,s aa dh a n
साधारण,s aa dh a r a n
साधु,s aa dh u
सान,s aa n
सानना,s aa n n aa
साप्ताहिक,s aa p t aa h i k
साफ़,s aa f
साफ़ा,s aa f aa
साबुन,s aa b u n
सामग्री,s aa m a g r ii
सामना,s aa m n aa
सामने,s aa m n e
सामयिक,s aa m a y i k
सामर्थ्य,s aa m a r th y a
सामाजिक,s aa m aa j i k
सामान,s aa m aa n
सामान्य,s aa m aa n y a
सामूहिक,s aa m uu h i k
साम्यवाद,s aa m y a v aa d
साम्यवादी,s aa m y a v a ~ d ii
साम्राज्य,s aa m r aa j y a
साम्राज्यवाद,s aa m r aa j y a v aa d
साम्राज्यवादी,s aa m r aa j y a v aa d ii
साया,s aa y aa
सारंगी,s aa r a ng g ii
सार,s aa r
सारस,s aa r a s
सारंश,s aa r aa n sh
सारा,s aa r aa
सार्जेंट,s aa r j e n t
सार्थक,s aa r th a k
सार्थकता,s aa r th a k t aa
सार्वजनिक,s aa r v a j a n i k
साल,s aa l
साला,s aa l aa
सालाना,s aa l aa n aa
सावधान,s aa v dh aa n
सावधानी,s aa v dh aa n ii
सावन,s aa v a n
सास,s aa s
साहब,s aa h a b
साहस,s aa h a s
साहसिक,s aa h s i k
साहसी,s aa h s ii
साहित्य,s aa h i t y a
साहित्यकार,s aa h i t y a k aa r
साहित्यिक,s aa h i t y i k
साहूकार,s aa h uu k aa r
सिंगार,s i ng g aa r
सिंगारदान,s i ng g aa r d aa n
सिंह,s i ng h
सिंहासन,s i ng h aa s a n
सिकुड़न,s i k u rr a n
सिकुड़ना,s i k u rr n aa
सिकोड़ना,s i k o rr n a
सिक्का,s i k k aa
सिखाना,s i kh aa n aa
सिगनल,s i g n a l
सिगरेट,s i g r e tt
सिगार,s i g aa r
सिटकिनी,s i tt k i n ii
सिड़ी,s i rr ii
सितंबर,s i t a m b a r
सितार,s i t aa r
सितारा,s i t aa r aa
सिद्ध,s i d dh a
सिद्धान्त,s i d dh aa n t
सिद्धि,s i d dh i
सिधाना,s i dh aa n aa
सिधारना,s i dh aa r n aa
सिनेमा,s i n e m aa
सिपाही,s i p aa h ii
सिफ़ारिश,s i f aa r i sh
सिफ़ारिशी,s i f aa r i sh ii
सिमटना,s i m a tt n aa
सियार,s i y aa r
सिर,s i r
सिरका,s i r k aa
